Food_ID,Food_Name,Quantity,Expiry_Date,Provider_ID,Provider_Type,Location,Food_Type,Meal_Type
1,Bread,43,2025-03-17,110,Grocery Store,South Kellyville,Vegetarian,Breakfast
2,Soup,22,2025-03-24,791,Grocery Store,West James,Vegetarian,Dinner
3,Fruits,46,2025-03-28,478,Catering Service,Lake Regina,Vegan,Breakfast
4,Fruits,15,2025-03-16,930,Restaurant,Kellytown,Vegan,Lunch
5,Soup,14,2025-03-19,279,Restaurant,Garciaport,Vegetarian,Dinner
6,Vegetables,4,2025-03-24,378,Supermarket,South Johnshire,Vegan,Snacks
7,Dairy,29,2025-03-25,268,Grocery Store,Nolanmouth,Vegetarian,Dinner
8,Rice,49,2025-03-28,343,Catering Service,South Christopherborough,Vegan,Lunch
9,Bread,46,2025-03-25,47,Supermarket,East Andrewland,Vegetarian,Snacks
10,Rice,41,2025-03-20,528,Supermarket,Markport,Vegan,Dinner
11,Pasta,39,2025-03-17,96,Grocery Store,Deborahland,Vegetarian,Breakfast
12,Pasta,15,2025-03-28,899,Catering Service,North Steven,Vegetarian,Lunch
13,Fruits,33,2025-03-22,115,Grocery Store,Floresville,Vegan,Snacks
14,Bread,19,2025-03-30,621,Supermarket,Sarahland,Vegetarian,Dinner
15,Salad,3,2025-03-22,74,Catering Service,Belindaville,Vegan,Breakfast
16,Dairy,6,2025-03-26,862,Grocery Store,East Tammy,Vegetarian,Snacks
17,Chicken,42,2025-03-22,417,Restaurant,East Ashleyshire,Non-Vegetarian,Snacks
18,Soup,28,2025-03-27,455,Catering Service,Madisonfort,Vegetarian,Snacks
19,Rice,13,2025-03-30,419,Supermarket,Port Peter,Vegan,Breakfast
20,Pasta,41,2025-03-17,306,Catering Service,North Keith,Vegetarian,Snacks
21,Rice,38,2025-03-26,277,Catering Service,West Aliciabury,Vegan,Dinner
22,Chicken,46,2025-03-21,892,Grocery Store,Russellfurt,Non-Vegetarian,Snacks
23,Salad,43,2025-03-26,1,Supermarket,New Jessica,Vegan,Dinner
24,Bread,20,2025-03-30,897,Catering Service,Villastad,Vegetarian,Lunch
25,Rice,48,2025-03-22,898,Restaurant,Medinatown,Vegan,Breakfast
26,Vegetables,34,2025-03-27,95,Supermarket,Christinaland,Vegan,Dinner
27,Salad,12,2025-03-23,262,Supermarket,New Carol,Vegan,Breakfast
28,Chicken,5,2025-03-22,606,Grocery Store,North Nathan,Non-Vegetarian,Dinner
29,Bread,18,2025-03-19,196,Restaurant,Bartonborough,Vegetarian,Lunch
30,Soup,4,2025-03-16,616,Restaurant,Clarkberg,Vegetarian,Dinner
31,Bread,42,2025-03-22,535,Grocery Store,Valdezborough,Vegetarian,Snacks
32,Rice,27,2025-03-21,611,Supermarket,Port Kendraborough,Vegan,Lunch
33,Salad,9,2025-03-27,798,Grocery Store,North Amanda,Vegan,Breakfast
34,Bread,3,2025-03-30,396,Catering Service,Heatherside,Vegetarian,Breakfast
35,Rice,6,2025-03-23,108,Supermarket,East Austin,Vegan,Breakfast
36,Rice,35,2025-03-20,1,Supermarket,New Jessica,Vegan,Breakfast
37,Fish,19,2025-03-20,389,Grocery Store,Davidborough,Non-Vegetarian,Dinner
38,Bread,48,2025-03-22,440,Grocery Store,Elliottberg,Vegetarian,Snacks
39,Bread,48,2025-03-22,758,Catering Service,Port Patrick,Vegetarian,Breakfast
40,Fruits,12,2025-03-27,965,Restaurant,Port Bryce,Vegan,Breakfast
41,Chicken,14,2025-03-27,450,Catering Service,Grahamside,Non-Vegetarian,Dinner
42,Rice,50,2025-03-16,179,Supermarket,North Michelle,Vegan,Lunch
43,Pasta,44,2025-03-22,29,Grocery Store,Patrickmouth,Vegetarian,Lunch
44,Bread,39,2025-03-22,290,Supermarket,Bradleyport,Vegetarian,Snacks
45,Fish,17,2025-03-24,874,Catering Service,Priceland,Non-Vegetarian,Lunch
46,Pasta,25,2025-03-28,576,Catering Service,East Emilyburgh,Vegetarian,Breakfast
